"id_cuidador","id_usuario","nome","sexo","data_nascimento","parentesco_paciente","telefone"
"30054","30054","Richard Stafford","F","1988-08-25","Sobrinho","001-805-213-6915x4044"
"30055","30055","Jeffrey Hart","M","1962-03-07","Genro","595.164.0221x9464"
"30056","30056","Daniel Ware","F","1962-03-31","Filho","+1-089-733-0158x26816"
"30057","30057","Michelle Hamilton","F","1978-11-20","Cônjuge","354.808.4079"
"30058","30058","Jacqueline Contreras","M","1997-03-30","Genro","+1-249-182-8942"
"30059","30059","Holly Evans","F","1969-10-09","Filha","(363)832-3898"
"30060","30060","Diamond Williams","M","1996-11-11","Filha","(570)479-5019x51793"
"30061","30061","Matthew Thompson","M","1964-10-21","Sobrinho","0148387495"
"30062","30062","Phillip Austin","M","1992-09-11","Sobrinho","001-313-131-0506"
"30063","30063","Jeffrey Stout","M","1970-06-15","Filha","(120)514-5885"
"30064","30064","Chris Fisher","F","1988-05-19","Nora","213-361-0348"
"30065","30065","Timothy Turner","F","1982-05-30","Genro","+1-191-945-1670x6780"
"30066","30066","David Brown","F","1964-09-04","Cônjuge","(129)815-3211x2587"
"30067","30067","Darlene Reed","M","1996-10-14","Sobrinho","831-468-5862x90326"
"30068","30068","Derrick Riddle","F","2005-02-23","Nora","(213)978-1219"
"30069","30069","Marcus Smith","M","1964-11-12","Filho","+1-840-790-4642"
"30070","30070","Samantha Thornton","M","1974-05-20","Filho","804.329.5093x78973"
"30071","30071","Michael West","M","1962-07-20","Primo","214.732.7246x17744"
"30072","30072","Gloria Keith","F","1963-10-06","Filho","+1-697-106-0204x8485"
"30073","30073","Mark Cox","F","1976-06-10","Cônjuge","557-401-9477x90703"
"30074","30074","Charles Hernandez","F","1973-05-19","Filha","974.639.3372x9760"
"30075","30075","Laura Espinoza","M","2000-01-28","Filho","3479826958"
"30076","30076","Charles Price","M","1974-09-01","Cônjuge","(446)500-9409x008"
"30077","30077","Charles Torres","F","1971-06-27","Sobrinho","488.443.2924x657"
"30078","30078","Andrew Jenkins","M","2003-11-18","Genro","6459527807"
"30079","30079","Sarah Hobbs","F","1980-02-19","Genro","001-055-563-4270"
"30080","30080","Sarah Perkins","F","1972-07-24","Nora","001-882-232-5592x451"
"30081","30081","Joyce Garcia","F","1999-06-30","Genro","(405)320-2839"
"30082","30082","Stacey Stevenson","M","1956-02-09","Filha","+1-712-296-5383x54324"
"30083","30083","Mr. Timothy Wise","F","1980-01-17","Genro","(788)169-7127x10378"
"30084","30084","Stephanie Stevens","M","1956-02-08","Cônjuge","+1-250-376-7973"
"30085","30085","David Lewis","M","2004-05-23","Sobrinho","+1-461-532-4278x797"
"30086","30086","Taylor Santiago","F","2002-04-16","Nora","891-679-4062x50344"
"30087","30087","Kevin Escobar","F","1955-02-14","Filha","791-558-0150x4742"
"30088","30088","Ryan Strickland","F","1965-07-07","Cônjuge","001-827-967-5835x68664"
"30089","30089","Anthony Phelps","F","1979-09-09","Filha","692-613-1907x591"
"30090","30090","Erik Hess","M","1994-03-04","Cônjuge","(876)495-2543x690"
"30091","30091","Ashley Pena","M","1989-01-16","Primo","4286258244"
"30092","30092","Hayley Li","F","1998-05-05","Sobrinho","+1-414-125-4033x1980"
"30093","30093","Kathleen Combs","M","1984-11-29","Filho","5187559379"
"30094","30094","Rebecca Murray","M","1975-11-26","Sobrinho","001-138-998-3510x070"
"30095","30095","Elizabeth Perkins","M","1988-07-13","Sobrinho","(674)328-8371x74610"
"30096","30096","Jessica Vaughn","M","2005-05-19","Primo","681-195-9244"
"30097","30097","Jacob English","M","1975-03-11","Filha","+1-338-310-5155x9096"
"30098","30098","Robert Atkinson","F","1995-08-22","Filha","+1-950-563-4707x8132"
"30099","30099","Christopher Day","M","1976-03-07","Cônjuge","(926)594-1452x928"
"30100","30100","Travis Rowe","F","1972-04-07","Nora","+1-735-647-5390x82875"
"30101","30101","Victoria Leach","F","1970-04-17","Filho","001-861-424-5518"
"30102","30102","Courtney Ramirez","F","1994-03-31","Genro","+1-106-607-0289x803"
"30103","30103","Jacob James","F","1999-12-04","Genro","942-486-2710x0586"
"30104","30104","Paul Jones","M","1992-01-03","Filha","699-802-1085x95297"
"30105","30105","Elijah Jackson","M","1978-08-21","Nora","+1-838-489-3868x11813"
"30106","30106","Ronald Boyer","F","1991-05-08","Sobrinho","2591394911"
"30107","30107","Lori Hall","F","1997-12-03","Genro","787-111-7713x93608"
"30108","30108","Linda Coleman","M","1993-03-16","Filha","+1-769-987-7421x6407"
"30109","30109","Daniel Solis","F","1963-07-08","Sobrinho","0533096509"
"30110","30110","Sabrina Mckee","F","1988-10-16","Sobrinho","(100)163-0208"
"30111","30111","Melanie Collins","M","1959-01-21","Filho","031.068.8403x0790"
"30112","30112","David Davis","F","2005-03-11","Primo","001-653-793-3827x356"
"30113","30113","Joseph Blackburn","M","1975-07-04","Sobrinho","173.974.3404"
"30114","30114","Tammy Newman","F","2004-12-04","Nora","(127)707-9090"
"30115","30115","Karen Church","M","1998-03-25","Sobrinho","(717)296-7862"
"30116","30116","Audrey Lewis PhD","M","1996-08-09","Genro","0855946192"
"30117","30117","Matthew Johnson","F","1965-12-16","Nora","001-035-152-0725"
"30118","30118","Angela Hernandez","M","2004-08-08","Sobrinho","001-108-440-7521x27398"
"30119","30119","Amber Henderson","M","1988-09-15","Cônjuge","196-370-2783"
"30120","30120","Kristin White","F","1996-01-06","Genro","063.833.7946"
"30121","30121","Phillip Burnett","M","1978-08-18","Nora","824.501.6434x529"
"30122","30122","John Carroll","M","1986-08-16","Sobrinho","192.402.9758x51996"
"30123","30123","Jessica Rodriguez","F","1964-02-20","Filha","(587)570-6502x653"
"30124","30124","Brian Ramos","F","1983-11-17","Nora","803.591.1988"
"30125","30125","Latasha Jenkins","M","1957-09-30","Filha","001-985-106-0546x886"
"30126","30126","Cynthia Nunez","M","1983-11-07","Cônjuge","161.965.8112x02644"
"30127","30127","Nicholas Woods","F","1956-02-01","Filho","976-635-5505x7787"
"30128","30128","Donald Chavez","F","1956-09-14","Primo","901.920.9012x237"
"30129","30129","Kimberly Clements","M","1997-01-16","Sobrinho","+1-880-260-6093x5098"
"30130","30130","Nicholas Robertson","M","1979-02-13","Sobrinho","6021508841"
"30131","30131","Denise Scott","M","1992-01-02","Nora","(804)109-6695"
"30132","30132","Joseph Miller","M","1995-05-24","Primo","892.670.4564x776"
"30133","30133","Jorge Roach","M","1958-03-01","Sobrinho","+1-585-580-2303"
"30134","30134","Shawn Conley","F","1977-05-28","Primo","057.457.0227x6399"
"30135","30135","Brian Fox","M","1968-10-27","Nora","8716979578"
"30136","30136","Tracy Smith","M","2003-12-03","Nora","+1-476-888-7091x011"
"30137","30137","Deanna Bennett","M","1988-02-08","Cônjuge","+1-249-692-0642x940"
"30138","30138","Natasha Beck","F","1959-07-19","Nora","(236)670-3702x491"
"30139","30139","Michael Young","M","1976-11-02","Primo","+1-636-381-6026x26649"
"30140","30140","Jesus Sullivan","F","1981-05-06","Cônjuge","+1-963-592-5623x180"
"30141","30141","Kyle Russell","F","1984-03-04","Sobrinho","127.938.2379x60951"
"30142","30142","Jacob Ellis","M","1997-07-13","Sobrinho","001-999-357-7028x358"
"30143","30143","Jenny Shields","M","1983-11-30","Nora","(663)749-9048x544"
"30144","30144","Heidi Weaver","F","1988-12-12","Filho","001-375-815-1757x7828"
"30145","30145","Amber Wallace","F","1985-09-27","Genro","473.042.1467"
"30146","30146","Brandon Wolfe","F","1963-05-29","Filha","001-282-035-4222x4581"
"30147","30147","Matthew Banks","F","1987-04-05","Primo","001-760-377-1351"
"30148","30148","Jonathan Munoz","F","1978-07-22","Filho","839-614-0259"
"30149","30149","Matthew Mcgee","M","1983-10-09","Genro","(135)047-8569x1487"
"30150","30150","Lisa Salazar","M","1963-12-18","Filha","001-181-040-5747x0563"
"30151","30151","Mark Hansen","M","1995-12-30","Cônjuge","+1-914-166-3763x5676"
"30152","30152","Douglas Long","M","1962-10-13","Filho","169-367-3511"
"30153","30153","William Riley","F","1990-04-05","Filho","+1-986-186-6731x374"
"30154","30154","Mr. Jose Leonard","M","1957-06-06","Sobrinho","896.475.4945x8187"
"30155","30155","Mikayla Bauer","M","1984-01-14","Filho","7322328357"
"30156","30156","Melissa Kelley","M","1988-12-13","Nora","+1-544-313-5449x0237"
"30157","30157","William Best","M","2002-04-08","Primo","(946)930-3130"
"30158","30158","Christian Marsh","M","2000-04-10","Cônjuge","558.608.9925x9423"
"30159","30159","Alejandro Watkins","M","1997-12-24","Primo","(564)667-3988x852"
"30160","30160","Raymond Smith","M","1998-11-28","Primo","(277)711-8096x2890"
"30161","30161","Joshua Wade","M","1991-10-12","Sobrinho","+1-212-967-3610x6802"
"30162","30162","William Herrera","M","1962-09-13","Cônjuge","638-142-1472"
"30163","30163","Derek Peterson","F","1979-08-06","Filha","001-357-468-2126x84565"
"30164","30164","Emily Norton","M","1961-11-26","Filha","(807)939-7798"
"30165","30165","Michael Butler","M","1955-05-09","Filha","+1-648-128-9843x13223"
"30166","30166","Robert Anderson","F","1998-12-10","Cônjuge","001-468-908-2174x955"
"30167","30167","Kathryn Norman","F","1979-08-02","Nora","726-133-0784x77689"
"30168","30168","Stephanie Russell","M","1980-01-22","Cônjuge","7926457936"
"30169","30169","Sara Kelly","M","1981-03-16","Nora","(812)799-0211x40974"
"30170","30170","Tyler Moore","F","1963-06-17","Filha","001-608-413-6274x32225"
"30171","30171","Terrence Hunt","M","1967-11-15","Cônjuge","594-278-5723"
"30172","30172","Ricky Frey","F","1989-05-09","Filho","+1-060-867-4733x33980"
"30173","30173","Carrie Ramos","F","2003-04-27","Cônjuge","026-080-2250x234"
"30174","30174","Logan Fletcher","M","1994-11-04","Genro","076.933.4129"
"30175","30175","Nicole Diaz DVM","M","2004-08-23","Sobrinho","+1-518-726-7348x03045"
"30176","30176","Cesar Powers","M","1989-04-03","Genro","4781246613"
"30177","30177","Michelle Mathews","F","1973-09-07","Nora","350.817.1247x1802"
"30178","30178","Marvin Estes","F","1999-07-11","Sobrinho","2363363683"
"30179","30179","Alexandra Roberts","F","1978-01-01","Primo","962-823-6542x4464"
"30180","30180","Daniel Chavez","F","1978-01-08","Filha","849-379-6568x34729"
"30181","30181","Malik Mejia","F","1991-09-03","Filho","(092)720-8422x744"
"30182","30182","Robert Smith","M","2005-04-13","Filha","(034)291-7252"
"30183","30183","Dakota Mitchell","M","1973-02-11","Filho","166.370.1951x822"
"30184","30184","Francisco Chavez","M","1982-06-20","Cônjuge","862-962-8442x88564"
"30185","30185","Jessica Ramirez","F","1963-09-13","Nora","878-981-4427"
"30186","30186","Shawn Stevens","F","1986-10-02","Genro","+1-522-790-0826x749"
"30187","30187","Patricia Rodriguez","M","1995-08-16","Sobrinho","654.278.0516x133"
"30188","30188","Tammy Armstrong","M","2004-06-07","Nora","864-173-5600"
"30189","30189","Cassandra Weber","M","1982-08-04","Cônjuge","006-609-3081"
"30190","30190","Kristin White","M","1991-04-25","Primo","001-364-837-9804"
"30191","30191","Linda Bender","F","2005-05-23","Genro","(136)818-2175"
"30192","30192","Susan Ferguson","M","1989-02-08","Nora","076-640-3338"
"30193","30193","Dennis Ryan","F","1959-02-22","Cônjuge","(493)963-9655x570"
"30194","30194","Debra Cummings","M","2000-12-21","Filha","549-167-6634x04848"
"30195","30195","Vanessa Reynolds MD","F","1984-09-04","Cônjuge","8112096630"
"30196","30196","Cheryl Clark","F","1965-03-22","Cônjuge","799.422.5917"
"30197","30197","Wendy Sanders","M","1963-11-12","Primo","361-021-8426"
"30198","30198","Gene Scott","M","2000-09-25","Nora","(379)959-0107x18121"
"30199","30199","Megan Jimenez","F","1972-04-22","Filha","2802430668"
"30200","30200","Lorraine Castro","M","1975-02-26","Filho","3101779950"
"30201","30201","Jennifer Martinez","M","1974-10-18","Sobrinho","160.489.1396x726"
"30202","30202","Nicole Hall","M","1993-08-14","Genro","+1-322-427-6121x979"
"30203","30203","Terry Huffman DDS","M","2004-02-16","Genro","944.990.4557"
"30204","30204","Oscar Walker","M","1974-06-05","Cônjuge","035.770.5503"
"30205","30205","Sheri Williams","M","1976-01-20","Nora","001-334-289-6977"
"30206","30206","Joshua Knight","F","1975-08-15","Cônjuge","360.453.8538x80862"
"30207","30207","Jose Buckley","F","2000-07-22","Genro","001-000-765-3675"
"30208","30208","Heather Williams","F","1986-07-01","Nora","518.899.6048x472"
"30209","30209","Tonya Scott","M","1984-12-14","Filho","4303780766"
"30210","30210","Cynthia Robinson","F","1988-10-04","Nora","+1-687-477-1632x3692"
"30211","30211","Nina Todd","M","1971-02-09","Filho","+1-855-165-1648x3666"
"30212","30212","Caleb Johnson","M","1982-08-14","Filho","967-845-2705x4663"
"30213","30213","Susan Guzman","F","1985-07-27","Genro","271.182.0507"
"30214","30214","Leslie Wright","M","2004-03-12","Genro","+1-325-012-3263x6883"
"30215","30215","Timothy Berg","F","1976-03-10","Primo","5565388975"
"30216","30216","Deborah Payne","F","1970-07-18","Sobrinho","520.325.0440x178"
"30217","30217","Julie George","F","1964-07-04","Nora","(911)751-0951x2760"
"30218","30218","Mary Mueller","F","1955-08-25","Filha","7288003503"
"30219","30219","Mrs. Jill Keller","F","1955-11-14","Primo","351.312.1530x798"
"30220","30220","Susan Hernandez","F","1969-02-10","Primo","204.134.1189"
"30221","30221","Terry Evans","M","1956-09-14","Filho","046-750-7672"
"30222","30222","Alex Williams","M","1994-06-16","Primo","+1-997-203-3020x302"
"30223","30223","Aaron Dixon","F","1989-01-05","Filha","(196)221-5493"
"30224","30224","Juan Nelson","M","1992-09-03","Sobrinho","001-010-576-1727x38373"
"30225","30225","Michelle Pearson","M","1988-05-17","Filha","+1-252-103-1804x6062"
"30226","30226","Charles Fisher MD","M","1964-03-23","Filho","172-057-9679"
"30227","30227","Cheyenne Harrell","F","1971-07-24","Nora","519-716-0256x3331"
"30228","30228","Dr. Lisa Horton","M","1968-12-28","Genro","9896718578"
"30229","30229","Mary Hicks DVM","M","1970-12-23","Sobrinho","001-219-196-2049x34056"
"30230","30230","Jo Smith","F","1986-03-30","Filha","116.521.4298"
"30231","30231","Abigail Anderson","M","1979-06-20","Cônjuge","+1-264-801-7248"
"30232","30232","Sonia Kim","M","1984-12-12","Filha","438-745-9773"
"30233","30233","Angelica Erickson","M","1993-08-20","Cônjuge","+1-389-912-9426"
"30234","30234","Tammy Wright","M","1972-02-04","Genro","+1-862-774-6208x4623"
"30235","30235","Jonathan Bailey","M","1996-06-30","Primo","045.604.0829x57880"
"30236","30236","Pamela Hobbs","M","1966-07-26","Nora","+1-213-504-9290x1357"
"30237","30237","Elizabeth Cook","M","1988-10-18","Cônjuge","(292)726-3905x79900"
"30238","30238","Paul Young","F","1972-07-27","Primo","(879)173-8246x646"
"30239","30239","Jennifer Young","M","1961-07-21","Nora","849.856.1200x67117"
"30240","30240","Justin Mcguire","M","2004-04-16","Nora","475.379.6142"
"30241","30241","Donald Anderson","M","2004-06-01","Primo","001-805-900-1696"
"30242","30242","Jessica Watson","M","2001-10-13","Nora","+1-531-848-5662x5256"
"30243","30243","Angela Hamilton","F","1993-03-07","Filha","(210)578-5831x513"
"30244","30244","Jose Young","F","1971-08-23","Genro","0221596798"
"30245","30245","Lori Simmons","F","1973-10-17","Filho","520-955-6634"
"30246","30246","Dylan Fleming","M","1982-02-08","Primo","001-739-696-2937x194"
"30247","30247","John Smith DDS","F","1962-11-27","Primo","(234)747-3124"
"30248","30248","Leah Jenkins","M","1984-06-06","Cônjuge","784.467.9195x60087"
"30249","30249","Monica Castro","F","1998-08-09","Primo","+1-504-007-6370"
"30250","30250","Matthew King","F","1980-09-27","Nora","001-639-834-3717x36982"
"30251","30251","Shelley Mccarthy","M","1989-09-01","Sobrinho","029-800-1588x688"
"30252","30252","Austin Lozano","F","1996-11-14","Primo","207.795.9191"
"30253","30253","Nathan Lopez","F","1983-08-01","Filho","453-591-6557x174"
"30254","30254","Tammy Shaw","F","1970-08-10","Sobrinho","(462)854-7755x72774"
"30255","30255","Mr. Craig Walker","M","1971-11-07","Sobrinho","205-044-3356x9210"
"30256","30256","William Hernandez","M","1989-07-10","Cônjuge","(679)312-1054x1206"
"30257","30257","Kathryn Woods","F","1981-07-05","Nora","+1-181-524-6960"
"30258","30258","Julie Chavez","M","2001-09-19","Nora","+1-551-048-0588"
"30259","30259","Martin Kaufman","M","1985-03-14","Filho","+1-795-431-5168x7252"
"30260","30260","Lauren Garcia","M","1993-03-25","Cônjuge","417-391-9677"
"30261","30261","Denise Ramirez","F","1989-03-16","Nora","978.044.4957x36784"
"30262","30262","John Wilson","M","1966-01-21","Filho","7381965052"
"30263","30263","Paul Morse","F","1974-04-24","Nora","746-115-9102x528"
"30264","30264","Stephanie Davis","M","1997-08-15","Filho","+1-023-328-4742x6354"
"30265","30265","Makayla Simmons","M","1959-04-29","Filho","(650)868-2265"
"30266","30266","Alejandro Kelly","F","1961-08-25","Filha","4890938998"
"30267","30267","Leah Sanchez","F","1970-05-07","Filho","389.218.8626"
"30268","30268","Jason Bishop","M","1962-08-16","Filha","001-381-915-5656x71877"
"30269","30269","Jacqueline Robinson","F","1956-03-15","Nora","+1-357-401-0806x885"
"30270","30270","Jeremy Salazar","F","2004-08-15","Cônjuge","(331)008-8651x6242"
"30271","30271","Jonathan Sanders","M","1970-03-02","Cônjuge","174.247.9941x0839"
"30272","30272","Julie Miles","F","1984-01-07","Filha","522-976-2460x2560"
"30273","30273","Stephanie Moyer","M","1958-11-24","Genro","001-763-381-3079x030"
"30274","30274","Toni Valencia","M","2004-11-02","Genro","+1-391-832-1193x8924"
"30275","30275","Aaron Fisher","F","1965-06-24","Cônjuge","816.688.5251x105"
"30276","30276","Ruben Simpson","M","1997-02-05","Filho","197.822.3210"
"30277","30277","Alejandro Robinson","M","2004-11-07","Nora","5764426260"
"30278","30278","Thomas Santiago","M","1978-02-22","Genro","481-580-1855x48105"
"30279","30279","Susan Mccullough","F","1956-01-11","Filha","011-723-3695"
"30280","30280","Eric Porter","F","1977-11-02","Filha","932-469-9456x3225"
"30281","30281","Lucas Jones","M","1986-02-06","Nora","327-772-0425"
"30282","30282","Keith Gonzales","F","1987-01-10","Filho","(593)487-1786x818"
"30283","30283","Stephanie Wilson","M","1988-11-04","Filho","001-107-672-7579x747"
"30284","30284","Sheri Hunt","F","1974-04-30","Genro","302.458.9879x077"
"30285","30285","Amanda Glenn","F","1971-02-14","Sobrinho","(818)958-9688"
"30286","30286","Joseph Evans","F","1991-06-24","Filho","054-900-2538"
"30287","30287","Candice Hernandez","M","1986-12-27","Cônjuge","+1-739-156-1377x7536"
"30288","30288","Ryan Dunn","M","2005-02-07","Primo","001-745-110-2912"
"30289","30289","Whitney Harrell","F","1970-01-05","Genro","001-314-117-3238x812"
"30290","30290","Shawn Powers","F","1983-02-18","Primo","082.740.8755"
"30291","30291","Derek Guzman","M","2002-03-25","Sobrinho","488-847-7675x053"
"30292","30292","Kenneth Bowman","M","2000-06-10","Filho","125-728-2871x2560"
"30293","30293","Michael Lee","F","1974-05-02","Nora","547.963.0597"
"30294","30294","Albert Woods","M","2001-02-14","Filha","(763)025-9149"
"30295","30295","Anthony Garcia","F","2000-08-24","Sobrinho","503-202-0119"
"30296","30296","Keith Hunter","M","1997-08-01","Filha","+1-022-976-6026x956"
"30297","30297","Robert Johnson","F","1971-03-03","Filho","(995)477-4508"
"30298","30298","Nicole Bryant","F","1966-12-02","Genro","235.926.2122"
"30299","30299","Juan Terrell","M","1991-12-08","Genro","(215)104-0168x624"
"30300","30300","Bryan Smith","M","1966-07-20","Genro","001-332-585-5311x649"
"30301","30301","Gregory Oconnell","M","1966-05-17","Nora","+1-178-549-5955x30942"
"30302","30302","Jerry Johnson","M","1994-06-03","Primo","(461)649-0038"
"30303","30303","Aaron Scott","M","1957-02-11","Sobrinho","001-209-109-7614x57649"
"30304","30304","Andrew Barry","F","1990-03-10","Filho","747.170.7126"
"30305","30305","Hunter Carroll","M","1990-12-02","Filho","001-111-603-0103x14503"
"30306","30306","Kyle Cochran","F","1990-06-22","Filha","344-332-7479"
"30307","30307","Marie Kline","M","1973-07-18","Filha","215-437-1172"
"30308","30308","Christopher Lane","M","1993-12-20","Filho","266-590-3231"
"30309","30309","Ruth Gibbs","F","1993-06-15","Genro","462-987-1839"
"30310","30310","David Romero","F","1994-10-11","Filha","251-173-7458"
"30311","30311","Todd Hall MD","M","1966-03-06","Filho","(569)576-9046"
"30312","30312","Colin Harvey","F","1979-10-22","Primo","6301415172"
"30313","30313","Lisa Estes","M","1961-12-26","Sobrinho","(023)531-5219"
"30314","30314","John Chase","M","1998-10-02","Primo","(966)031-7308"
"30315","30315","Michael Williams","M","1984-05-31","Nora","5860797620"
"30316","30316","Brittany Robinson","F","1960-03-29","Primo","7170708444"
"30317","30317","Stephen Obrien","F","1982-01-19","Primo","001-767-285-3501"
"30318","30318","Andrew Matthews","M","1960-05-31","Primo","(470)048-8796x8297"
"30319","30319","Luis Phillips","M","1960-07-18","Filho","001-604-299-4239x8000"
"30320","30320","Jason Elliott","M","1955-09-15","Filho","811-169-2668x8701"
"30321","30321","Matthew Lam","M","1987-02-06","Filho","549.436.8016x7513"
"30322","30322","Robin Hunter","F","1987-08-28","Nora","001-391-275-1516x1220"
"30323","30323","Vincent Browning","M","1978-03-06","Cônjuge","+1-838-437-6041x4083"
"30324","30324","Jean Mitchell","M","2002-04-19","Filho","782-009-3042"
"30325","30325","Scott Smith","F","1988-07-18","Filho","001-818-921-8832x8763"
"30326","30326","Brian Gray","F","1958-12-21","Filha","017.628.6782x6550"
"30327","30327","Kimberly Vargas","M","1987-02-09","Cônjuge","(387)921-1103x07872"
"30328","30328","Margaret Lopez","F","1985-05-21","Sobrinho","001-140-298-8487x8083"
"30329","30329","Joshua Berry","M","1970-03-17","Nora","001-332-950-1421x48035"
"30330","30330","Yvonne Hancock","M","1985-11-24","Filho","(585)982-3596"
"30331","30331","Briana Estrada","F","1975-03-27","Filha","(726)420-2081"
"30332","30332","Joel Elliott","M","1961-06-13","Filho","024-412-6779"
"30333","30333","Denise Herrera","F","1973-10-28","Nora","+1-006-121-8214x553"
"30334","30334","Darren Ferguson","M","1957-11-16","Genro","+1-285-915-0030"
"30335","30335","Tricia Flores","M","1974-04-20","Sobrinho","+1-953-457-8985x168"
"30336","30336","Stephanie Rogers","F","1962-03-27","Genro","+1-339-198-5619x24663"
"30337","30337","Larry Spencer","F","1959-11-12","Filho","(208)412-5425x533"
"30338","30338","Jennifer Moore","F","1969-09-01","Primo","8925382312"
"30339","30339","Mr. Curtis Oneal","M","1986-12-01","Nora","+1-281-069-1795x7525"
"30340","30340","Juan Gray","M","1967-09-14","Sobrinho","283-336-0164x06479"
"30341","30341","Robert Howell","M","1960-05-24","Nora","915.578.7287x8187"
"30342","30342","Sophia Ball","M","1988-06-23","Genro","290.115.6446x38330"
"30343","30343","Paul Hess","F","1984-04-05","Primo","(865)565-1612x480"
"30344","30344","James Frederick","F","1959-04-05","Sobrinho","+1-651-572-9985x9655"
"30345","30345","William Adams","F","1997-08-05","Filho","930.294.8073x4757"
"30346","30346","Kimberly Dickerson","M","1989-01-08","Nora","997-591-2354"
"30347","30347","Jason Adams","F","1982-12-07","Genro","+1-367-600-9639"
"30348","30348","Lynn Allen","F","1955-07-03","Filho","(016)446-0414"
"30349","30349","Timothy Martin","F","1994-12-26","Genro","239.064.0383x149"
"30350","30350","Troy Powell","F","1991-04-25","Nora","254-692-8918x17181"
"30351","30351","Meagan Rose","M","1972-01-14","Sobrinho","492-825-1167x638"
