tipo_usuario,nome_completo,email,senha_hash,telefone,sexo,estado
PACIENTE,Maria Vitória Lopes,maria.vitória.lopes@exemplo.com,senha123,(031) 9868-7277,OUTRO,RS
PACIENTE,Vitor Gabriel Farias,vitor.gabriel.farias@exemplo.com,senha123,+55 84 8734-7143,MASCULINO,RN
PACIENTE,Isaac Lopes,isaac.lopes@exemplo.com,senha123,71 1223-6231,OUTRO,CE
PACIENTE,Júlia Melo,júlia.melo@exemplo.com,senha123,71 7603-6690,OUTRO,SC
PACIENTE,Isis Rocha,isis.rocha@exemplo.com,senha123,+55 (011) 5466 8893,MASCULINO,CE
PACIENTE,Clarice Fogaça,clarice.fogaca@exemplo.com,senha123,(021) 7065-6272,FEMININO,MG
PACIENTE,Maria Alice Araújo,maria.alice.araújo@exemplo.com,senha123,61 9901 6272,FEMININO,RS
PACIENTE,Francisco Nascimento,francisco.nascimento@exemplo.com,senha123,(061) 3755 6464,OUTRO,PI
PACIENTE,Lucas Aragão,lucas.aragao@exemplo.com,senha123,71 0531-0033,MASCULINO,RO
PACIENTE,Pedro Henrique da Costa,pedro.henrique.da.costa@exemplo.com,senha123,+55 41 2719-3745,FEMININO,TO
PACIENTE,Otávio Correia,otavio.correia@exemplo.com,senha123,+55 (031) 4190-4966,MASCULINO,ES
PACIENTE,Srta. Ana Julia Farias,srta..ana.julia.farias@exemplo.com,senha123,+55 51 4919 0586,MASCULINO,SE
PACIENTE,Isadora Campos,isadora.campos@exemplo.com,senha123,21 5067-1657,FEMININO,MG
PACIENTE,Srta. Larissa da Luz,srta..larissa.da.luz@exemplo.com,senha123,41 4987-7694,FEMININO,AP
PACIENTE,Sr. Bryan Freitas,sr..bryan.freitas@exemplo.com,senha123,(041) 3799-6507,MASCULINO,RJ
PACIENTE,Sr. Luigi da Rosa,sr..luigi.da.rosa@exemplo.com,senha123,11 4549 4808,OUTRO,MT
PACIENTE,Bruno Duarte,bruno.duarte@exemplo.com,senha123,81 7837 7701,MASCULINO,RS
PACIENTE,Enzo Gabriel Nunes,enzo.gabriel.nunes@exemplo.com,senha123,+55 51 4957 8856,FEMININO,MG
PACIENTE,Dra. Helena Moraes,dra..helena.moraes@exemplo.com,senha123,(051) 4443-1351,OUTRO,PB
PACIENTE,Dra. Sophie da Mata,dra..sophie.da.mata@exemplo.com,senha123,+55 (071) 3749-8941,MASCULINO,GO
PACIENTE,Gustavo Dias,gustavo.dias@exemplo.com,senha123,21 2408 2400,MASCULINO,ES
PACIENTE,Evelyn Costela,evelyn.costela@exemplo.com,senha123,(084) 1094-7775,OUTRO,PI
PACIENTE,Benjamin Fernandes,benjamin.fernandes@exemplo.com,senha123,(081) 1167-1902,OUTRO,GO
PACIENTE,Miguel Jesus,miguel.jesus@exemplo.com,senha123,+55 21 3186 9993,OUTRO,RJ
PACIENTE,Isis Porto,isis.porto@exemplo.com,senha123,(031) 4964-9909,FEMININO,RJ
PACIENTE,Srta. Sophie da Rocha,srta..sophie.da.rocha@exemplo.com,senha123,+55 11 4123-2812,FEMININO,MS
PACIENTE,Juan Porto,juan.porto@exemplo.com,senha123,0300-740-3447,MASCULINO,BA
PACIENTE,Rodrigo Dias,rodrigo.dias@exemplo.com,senha123,+55 71 9361-8324,OUTRO,PR
PACIENTE,Breno Caldeira,breno.caldeira@exemplo.com,senha123,+55 (041) 4994-7174,MASCULINO,SP
PACIENTE,Sra. Emanuelly Santos,sra..emanuelly.santos@exemplo.com,senha123,71 7719-0659,MASCULINO,AM
PACIENTE,Antônio Carvalho,antônio.carvalho@exemplo.com,senha123,+55 31 9904-9027,MASCULINO,RS
PACIENTE,Milena Pires,milena.pires@exemplo.com,senha123,+55 84 2967-1756,MASCULINO,SE
PACIENTE,Dr. Raul Cavalcanti,dr..raul.cavalcanti@exemplo.com,senha123,+55 (031) 5674-6807,OUTRO,PA
PACIENTE,Ian Fernandes,ian.fernandes@exemplo.com,senha123,(061) 1680 8760,OUTRO,AP
PACIENTE,Luiz Henrique Moreira,luiz.henrique.moreira@exemplo.com,senha123,0900-770-3482,FEMININO,MG
PACIENTE,Leonardo Rodrigues,leonardo.rodrigues@exemplo.com,senha123,+55 71 0932 4808,OUTRO,PB
PACIENTE,Ana Laura das Neves,ana.laura.das.neves@exemplo.com,senha123,+55 61 7127 4846,OUTRO,GO
PACIENTE,Lorena Farias,lorena.farias@exemplo.com,senha123,(051) 8263-9821,OUTRO,AC
PACIENTE,Vitor Peixoto,vitor.peixoto@exemplo.com,senha123,(081) 8404 4997,OUTRO,SC
PACIENTE,Levi Teixeira,levi.teixeira@exemplo.com,senha123,(081) 5588-6753,MASCULINO,RO
PACIENTE,Srta. Maria Julia Nogueira,srta..maria.julia.nogueira@exemplo.com,senha123,+55 31 6057-6627,OUTRO,SP
PACIENTE,Cauê Santos,cauê.santos@exemplo.com,senha123,0900 517 1870,FEMININO,SP
PACIENTE,Srta. Júlia da Costa,srta..júlia.da.costa@exemplo.com,senha123,+55 11 7459 6158,OUTRO,MT
PACIENTE,Gabrielly Rodrigues,gabrielly.rodrigues@exemplo.com,senha123,71 0913-4316,MASCULINO,MA
PACIENTE,Vitor Hugo Castro,vitor.hugo.castro@exemplo.com,senha123,(031) 2400-5045,FEMININO,CE
PACIENTE,Dr. Danilo Farias,dr..danilo.farias@exemplo.com,senha123,51 6922 2196,FEMININO,AC
PACIENTE,Nina Duarte,nina.duarte@exemplo.com,senha123,11 9237-4740,OUTRO,SC
PACIENTE,Esther Viana,esther.viana@exemplo.com,senha123,+55 (031) 1759-4647,FEMININO,PE
PACIENTE,Eduardo Nogueira,eduardo.nogueira@exemplo.com,senha123,(081) 1369-5944,MASCULINO,PE
PACIENTE,Rafael Novaes,rafael.novaes@exemplo.com,senha123,+55 84 0909-7439,MASCULINO,RS
PACIENTE,Sr. Pedro Miguel da Mota,sr..pedro.miguel.da.mota@exemplo.com,senha123,0900-421-0470,FEMININO,TO
PACIENTE,Isabelly Costela,isabelly.costela@exemplo.com,senha123,+55 31 4562 3285,OUTRO,PE
PACIENTE,Lívia Fogaça,lívia.fogaca@exemplo.com,senha123,+55 (041) 4745-1712,OUTRO,DF
PACIENTE,Renan Novaes,renan.novaes@exemplo.com,senha123,84 5160-4817,MASCULINO,MS
PACIENTE,Dr. Nathan Nascimento,dr..nathan.nascimento@exemplo.com,senha123,31 1370 9859,MASCULINO,PI
PACIENTE,Pedro Campos,pedro.campos@exemplo.com,senha123,(061) 4612-0047,OUTRO,AC
PACIENTE,Caio Duarte,caio.duarte@exemplo.com,senha123,61 2675-8692,OUTRO,MT
PACIENTE,Milena Castro,milena.castro@exemplo.com,senha123,(084) 9640-5377,FEMININO,AC
PACIENTE,João Guilherme Castro,joao.guilherme.castro@exemplo.com,senha123,31 8506 4317,MASCULINO,MS
PACIENTE,Rafael da Rosa,rafael.da.rosa@exemplo.com,senha123,0300-005-3293,FEMININO,ES
PACIENTE,Vitor Hugo Vieira,vitor.hugo.vieira@exemplo.com,senha123,+55 (084) 9335-2904,MASCULINO,ES
PACIENTE,Cauê Viana,cauê.viana@exemplo.com,senha123,+55 61 2102-0539,OUTRO,AP
PACIENTE,Sr. Davi Ferreira,sr..davi.ferreira@exemplo.com,senha123,+55 (071) 2681 1775,MASCULINO,SC
PACIENTE,Maria Sophia Cavalcanti,maria.sophia.cavalcanti@exemplo.com,senha123,(041) 8390-8470,FEMININO,TO
PACIENTE,Lucca Nunes,lucca.nunes@exemplo.com,senha123,(011) 1771-1592,MASCULINO,SP
PACIENTE,Cauê Freitas,cauê.freitas@exemplo.com,senha123,0900-985-6984,OUTRO,SP
PACIENTE,Lívia Pinto,lívia.pinto@exemplo.com,senha123,+55 41 1836 7365,MASCULINO,BA
PACIENTE,Juliana Peixoto,juliana.peixoto@exemplo.com,senha123,+55 41 5654 5271,OUTRO,PR
PACIENTE,Bruno Carvalho,bruno.carvalho@exemplo.com,senha123,(021) 1528-0988,OUTRO,CE
PACIENTE,Sr. Juan Moraes,sr..juan.moraes@exemplo.com,senha123,(011) 0494-5198,FEMININO,PE
PACIENTE,Davi Lucas Rocha,davi.lucas.rocha@exemplo.com,senha123,+55 21 1585-1493,OUTRO,PA
PACIENTE,Maria Eduarda Araújo,maria.eduarda.araújo@exemplo.com,senha123,0500-402-4455,MASCULINO,PI
PACIENTE,Diego da Conceição,diego.da.conceicao@exemplo.com,senha123,0300 612 0183,OUTRO,RR
PACIENTE,Kamilly Ramos,kamilly.ramos@exemplo.com,senha123,(081) 2545 9910,MASCULINO,RR
PACIENTE,Davi Lucca Barros,davi.lucca.barros@exemplo.com,senha123,+55 21 4767 9764,FEMININO,MG
PACIENTE,Vitor Gabriel Silva,vitor.gabriel.silva@exemplo.com,senha123,+55 61 5614 9784,OUTRO,RS
PACIENTE,Enzo Gabriel Novaes,enzo.gabriel.novaes@exemplo.com,senha123,0300-003-4324,FEMININO,PB
PACIENTE,Igor Costa,igor.costa@exemplo.com,senha123,+55 (011) 7622 6838,OUTRO,PB
PACIENTE,Natália Moraes,natalia.moraes@exemplo.com,senha123,+55 11 6060 7159,MASCULINO,ES
PACIENTE,Maria Julia Nunes,maria.julia.nunes@exemplo.com,senha123,84 4160 5297,MASCULINO,AP
PACIENTE,Sra. Ana Laura Pinto,sra..ana.laura.pinto@exemplo.com,senha123,+55 51 3696 8164,FEMININO,AC
PACIENTE,Sra. Clarice Melo,sra..clarice.melo@exemplo.com,senha123,+55 (041) 1818-8355,OUTRO,PI
PACIENTE,Dra. Bianca Duarte,dra..bianca.duarte@exemplo.com,senha123,+55 51 2432 9212,MASCULINO,RJ
PACIENTE,Luna Rezende,luna.rezende@exemplo.com,senha123,0300 979 9552,MASCULINO,AC
PACIENTE,Ana Clara Ribeiro,ana.clara.ribeiro@exemplo.com,senha123,(031) 4490-5814,MASCULINO,RR
PACIENTE,Lavínia Azevedo,lavínia.azevedo@exemplo.com,senha123,+55 (081) 5411 9986,OUTRO,AL
PACIENTE,Maria Luiza Vieira,maria.luiza.vieira@exemplo.com,senha123,+55 (061) 7935 9782,MASCULINO,AP
PACIENTE,Levi Cavalcanti,levi.cavalcanti@exemplo.com,senha123,(081) 1820 3778,MASCULINO,MT
PACIENTE,Mariana da Cruz,mariana.da.cruz@exemplo.com,senha123,21 5466 5905,MASCULINO,PE
PACIENTE,Isaac Castro,isaac.castro@exemplo.com,senha123,84 6449-2519,MASCULINO,GO
PACIENTE,Bianca Monteiro,bianca.monteiro@exemplo.com,senha123,(041) 6291 4865,OUTRO,PR
PACIENTE,Raul Souza,raul.souza@exemplo.com,senha123,+55 31 6850 5423,MASCULINO,PI
PACIENTE,Dr. Diogo das Neves,dr..diogo.das.neves@exemplo.com,senha123,+55 84 2141 8880,MASCULINO,SC
PACIENTE,Heloísa Costela,heloísa.costela@exemplo.com,senha123,0300-622-2927,OUTRO,RJ
PACIENTE,Juan Moreira,juan.moreira@exemplo.com,senha123,+55 41 7947-3834,FEMININO,ES
PACIENTE,Caroline Moura,caroline.moura@exemplo.com,senha123,0500 774 6886,FEMININO,SE
PACIENTE,Eduardo Cunha,eduardo.cunha@exemplo.com,senha123,+55 61 0758-1814,FEMININO,DF
PACIENTE,Vitor Hugo da Cruz,vitor.hugo.da.cruz@exemplo.com,senha123,+55 81 7826-1375,MASCULINO,AM
PACIENTE,Kaique Barros,kaique.barros@exemplo.com,senha123,61 8536 1530,OUTRO,PA
PACIENTE,Sr. Theo Melo,sr..theo.melo@exemplo.com,senha123,+55 (011) 2047-2779,FEMININO,PA
PACIENTE,Bruno Aragão,bruno.aragao@exemplo.com,senha123,+55 61 3289-8614,FEMININO,PB
PACIENTE,Heitor Costa,heitor.costa@exemplo.com,senha123,+55 (071) 3697 1179,OUTRO,AL
PACIENTE,Alexia Silva,alexia.silva@exemplo.com,senha123,0500 324 6095,OUTRO,RS
PACIENTE,Murilo Peixoto,murilo.peixoto@exemplo.com,senha123,+55 (061) 1851-8888,OUTRO,AM
PACIENTE,Alexia Nogueira,alexia.nogueira@exemplo.com,senha123,(071) 0654-0515,MASCULINO,MG
PACIENTE,Thomas Cavalcanti,thomas.cavalcanti@exemplo.com,senha123,0800 520 5852,OUTRO,MT
PACIENTE,Letícia Rocha,letícia.rocha@exemplo.com,senha123,+55 (061) 2170-4303,MASCULINO,ES
PACIENTE,Ian Lima,ian.lima@exemplo.com,senha123,31 6874-0345,MASCULINO,DF
PACIENTE,Pietro Melo,pietro.melo@exemplo.com,senha123,+55 81 1566-7652,OUTRO,PB
PACIENTE,Olivia Sales,olivia.sales@exemplo.com,senha123,31 8416 1692,MASCULINO,PA
PACIENTE,Evelyn Martins,evelyn.martins@exemplo.com,senha123,+55 51 1544 7962,MASCULINO,GO
PACIENTE,Sra. Isabel Porto,sra..isabel.porto@exemplo.com,senha123,+55 (061) 5964 0165,FEMININO,ES
PACIENTE,Yasmin da Cruz,yasmin.da.cruz@exemplo.com,senha123,+55 (041) 2970 2135,MASCULINO,PB
PACIENTE,Dr. Miguel Azevedo,dr..miguel.azevedo@exemplo.com,senha123,0500-275-5719,OUTRO,AM
PACIENTE,Luiz Miguel Moreira,luiz.miguel.moreira@exemplo.com,senha123,61 5431 0278,MASCULINO,RS
PACIENTE,Maria Eduarda Costa,maria.eduarda.costa@exemplo.com,senha123,+55 71 4739-4731,OUTRO,TO
PACIENTE,Breno Porto,breno.porto@exemplo.com,senha123,+55 (051) 7155-1884,MASCULINO,AP
PACIENTE,Davi Lucca da Luz,davi.lucca.da.luz@exemplo.com,senha123,21 8313 2370,MASCULINO,CE
PACIENTE,Dr. Lucas Gabriel Vieira,dr..lucas.gabriel.vieira@exemplo.com,senha123,+55 81 9114 6786,FEMININO,PR
PACIENTE,Maria Julia Cardoso,maria.julia.cardoso@exemplo.com,senha123,+55 81 5177 8528,FEMININO,DF
PACIENTE,Maria Sophia da Mata,maria.sophia.da.mata@exemplo.com,senha123,+55 81 6801 8242,FEMININO,AL
PACIENTE,Igor das Neves,igor.das.neves@exemplo.com,senha123,(084) 8414 3842,MASCULINO,MG
PACIENTE,Fernanda Teixeira,fernanda.teixeira@exemplo.com,senha123,+55 31 8299 2299,MASCULINO,MG
PACIENTE,Sr. Antônio Cardoso,sr..antônio.cardoso@exemplo.com,senha123,+55 (061) 9439 6907,FEMININO,SE
PACIENTE,Maria Cecília Gonçalves,maria.cecília.goncalves@exemplo.com,senha123,(031) 7364 7102,FEMININO,MA
PACIENTE,Kamilly Rocha,kamilly.rocha@exemplo.com,senha123,(061) 3592-5556,FEMININO,RR
PACIENTE,Vitor Hugo Moura,vitor.hugo.moura@exemplo.com,senha123,31 8153-7147,OUTRO,SE
PACIENTE,Danilo Castro,danilo.castro@exemplo.com,senha123,+55 (071) 4696 3259,OUTRO,RO
PACIENTE,Sra. Caroline da Cruz,sra..caroline.da.cruz@exemplo.com,senha123,11 8774-7016,OUTRO,PR
PACIENTE,Laís Duarte,laís.duarte@exemplo.com,senha123,+55 11 9500-4797,MASCULINO,DF
PACIENTE,Luiz Otávio Alves,luiz.otavio.alves@exemplo.com,senha123,+55 51 6245 6506,FEMININO,DF
PACIENTE,Miguel da Mota,miguel.da.mota@exemplo.com,senha123,21 8416 8784,MASCULINO,RJ
PACIENTE,Nina Costa,nina.costa@exemplo.com,senha123,+55 81 1655 8523,OUTRO,PI
PACIENTE,Maitê Nunes,maitê.nunes@exemplo.com,senha123,21 0002-5787,MASCULINO,SC
PACIENTE,Otávio Silva,otavio.silva@exemplo.com,senha123,+55 84 5952 6949,FEMININO,AL
PACIENTE,Dr. Thales Jesus,dr..thales.jesus@exemplo.com,senha123,(071) 0551-6940,MASCULINO,RJ
PACIENTE,Lorena Ferreira,lorena.ferreira@exemplo.com,senha123,0800 930 9728,FEMININO,PE
PACIENTE,Rebeca Nascimento,rebeca.nascimento@exemplo.com,senha123,+55 (011) 3091-3075,OUTRO,CE
PACIENTE,Brenda Oliveira,brenda.oliveira@exemplo.com,senha123,+55 (084) 6897-0283,MASCULINO,PE
PACIENTE,Giovanna Rocha,giovanna.rocha@exemplo.com,senha123,51 6527 8585,MASCULINO,CE
PACIENTE,Stella Ferreira,stella.ferreira@exemplo.com,senha123,0800-733-4843,MASCULINO,RN
PACIENTE,Vitor Gomes,vitor.gomes@exemplo.com,senha123,+55 (084) 7575-8441,MASCULINO,RO
PACIENTE,Nicole Viana,nicole.viana@exemplo.com,senha123,41 6524 0415,MASCULINO,MG
PACIENTE,Milena Fernandes,milena.fernandes@exemplo.com,senha123,(081) 3384-8421,MASCULINO,RJ
PACIENTE,Sarah Duarte,sarah.duarte@exemplo.com,senha123,+55 51 0833 0165,MASCULINO,RJ
PACIENTE,Sra. Ana Luiza Cunha,sra..ana.luiza.cunha@exemplo.com,senha123,+55 (011) 8267 7345,OUTRO,AL
PACIENTE,Pedro Caldeira,pedro.caldeira@exemplo.com,senha123,+55 31 9380 2620,OUTRO,AP
PACIENTE,Valentina Sales,valentina.sales@exemplo.com,senha123,+55 (061) 4004-9915,FEMININO,RO
PACIENTE,Lorenzo Viana,lorenzo.viana@exemplo.com,senha123,51 7287 4315,OUTRO,RJ
PACIENTE,Thomas Ramos,thomas.ramos@exemplo.com,senha123,+55 61 2054-9329,OUTRO,MT
PACIENTE,Juliana Pereira,juliana.pereira@exemplo.com,senha123,31 5161-2275,FEMININO,DF
PACIENTE,Alexandre Ferreira,alexandre.ferreira@exemplo.com,senha123,51 3745 4990,OUTRO,RR
PACIENTE,Pietro Moreira,pietro.moreira@exemplo.com,senha123,+55 41 0174-2684,FEMININO,ES
PACIENTE,Srta. Maysa Gonçalves,srta..maysa.goncalves@exemplo.com,senha123,31 9332 7279,FEMININO,MG
PACIENTE,Dr. Samuel Vieira,dr..samuel.vieira@exemplo.com,senha123,(071) 8339-1878,MASCULINO,RO
PACIENTE,Sra. Ana Julia Correia,sra..ana.julia.correia@exemplo.com,senha123,+55 (081) 8839 8225,OUTRO,MA
PACIENTE,Laura Correia,laura.correia@exemplo.com,senha123,+55 (084) 9718-7072,FEMININO,MT
PACIENTE,Kamilly Ramos,kamilly.ramos@exemplo.com,senha123,0300 087 4064,MASCULINO,AC
PACIENTE,Vinicius da Rosa,vinicius.da.rosa@exemplo.com,senha123,0800 106 5180,FEMININO,RN
PACIENTE,Lucas Azevedo,lucas.azevedo@exemplo.com,senha123,(011) 6226 5676,OUTRO,AM
PACIENTE,Ana Júlia Viana,ana.júlia.viana@exemplo.com,senha123,+55 84 5128 6823,MASCULINO,PI
PACIENTE,Vitor Gabriel Aragão,vitor.gabriel.aragao@exemplo.com,senha123,(031) 7868 6337,MASCULINO,PE
PACIENTE,Sr. Guilherme da Mota,sr..guilherme.da.mota@exemplo.com,senha123,+55 61 0690 3311,FEMININO,BA
PACIENTE,Alícia Porto,alícia.porto@exemplo.com,senha123,0300-030-6738,FEMININO,AP
PACIENTE,Vitor Gabriel Caldeira,vitor.gabriel.caldeira@exemplo.com,senha123,+55 84 8439 5995,MASCULINO,MS
PACIENTE,Heitor da Conceição,heitor.da.conceicao@exemplo.com,senha123,41 3644-0892,FEMININO,CE
PACIENTE,Nicole Pereira,nicole.pereira@exemplo.com,senha123,84 7056-8566,FEMININO,TO
PACIENTE,Heitor Nascimento,heitor.nascimento@exemplo.com,senha123,+55 (061) 8733-4270,OUTRO,RR
PACIENTE,Júlia Peixoto,júlia.peixoto@exemplo.com,senha123,84 8263-4351,FEMININO,RN
PACIENTE,Isadora Carvalho,isadora.carvalho@exemplo.com,senha123,61 3046-9901,OUTRO,PE
PACIENTE,Vitor Hugo da Rosa,vitor.hugo.da.rosa@exemplo.com,senha123,(081) 3540-3317,MASCULINO,RO
PACIENTE,Samuel da Rocha,samuel.da.rocha@exemplo.com,senha123,61 3854 6785,OUTRO,MA
PACIENTE,Francisco Moreira,francisco.moreira@exemplo.com,senha123,31 7717-5355,OUTRO,AM
PACIENTE,Amanda das Neves,amanda.das.neves@exemplo.com,senha123,+55 (011) 0489-9642,MASCULINO,GO
PACIENTE,Isaac Dias,isaac.dias@exemplo.com,senha123,41 9378 5477,MASCULINO,AM
PACIENTE,Bárbara Moraes,barbara.moraes@exemplo.com,senha123,+55 (041) 2872-8080,OUTRO,PI
PACIENTE,Raul Barros,raul.barros@exemplo.com,senha123,+55 (011) 6231 2038,MASCULINO,GO
PACIENTE,Isadora Caldeira,isadora.caldeira@exemplo.com,senha123,0900-977-0088,FEMININO,RN
PACIENTE,Alana Aragão,alana.aragao@exemplo.com,senha123,51 4840 8621,MASCULINO,RR
PACIENTE,Luiz Miguel da Costa,luiz.miguel.da.costa@exemplo.com,senha123,+55 41 3984-5461,FEMININO,DF
PACIENTE,Dr. Lorenzo Farias,dr..lorenzo.farias@exemplo.com,senha123,+55 21 4101-6668,OUTRO,RS
PACIENTE,Ana Carolina Alves,ana.carolina.alves@exemplo.com,senha123,+55 (041) 1765-9180,FEMININO,PE
PACIENTE,Enrico Ribeiro,enrico.ribeiro@exemplo.com,senha123,+55 81 0148-9025,FEMININO,GO
PACIENTE,Emanuel da Conceição,emanuel.da.conceicao@exemplo.com,senha123,61 1429 3968,MASCULINO,AP
PACIENTE,Dr. Vitor Gabriel Cunha,dr..vitor.gabriel.cunha@exemplo.com,senha123,+55 21 8501 6315,OUTRO,PA
PACIENTE,Stella Novaes,stella.novaes@exemplo.com,senha123,(061) 0477 3586,FEMININO,AL
PACIENTE,Carolina Nascimento,carolina.nascimento@exemplo.com,senha123,+55 21 9431 1426,MASCULINO,MT
PACIENTE,Dra. Brenda Nogueira,dra..brenda.nogueira@exemplo.com,senha123,(051) 5110 4754,MASCULINO,RS
PACIENTE,Cauê Carvalho,cauê.carvalho@exemplo.com,senha123,+55 (061) 6788-8610,FEMININO,CE
PACIENTE,João Gabriel Vieira,joao.gabriel.vieira@exemplo.com,senha123,+55 31 9956 0466,OUTRO,PB
PACIENTE,Thiago Farias,thiago.farias@exemplo.com,senha123,0500 826 2244,OUTRO,RR
PACIENTE,Luiz Felipe da Conceição,luiz.felipe.da.conceicao@exemplo.com,senha123,+55 (084) 2646 4715,FEMININO,PI
PACIENTE,Felipe Sales,felipe.sales@exemplo.com,senha123,0300-937-1240,MASCULINO,AM
PACIENTE,Helena Nascimento,helena.nascimento@exemplo.com,senha123,(071) 7569 2459,MASCULINO,RR
PACIENTE,Srta. Luana Lopes,srta..luana.lopes@exemplo.com,senha123,+55 (051) 6547-9356,MASCULINO,PI
