email,senha,nome,nome_social,celular,genero,data_nascimento,cidade,estado,tipo_sanguineo,condicoes_medicas,medicacao,contato_emergencia,unidades_de_saude
paciente20@email.com,xH67_bJc*i,Luiz Miguel Sá,Luiz Miguel Sá,+55 (041) 1265-4734,Feminino,1949-07-18,da Rosa,BA,O+,"Câncer, Doença cardíaca","Omeprazol, Ibuprofeno, Metformina, Paracetamol",61 0060-6946,UBS Vila Sara Pastor
paciente21@email.com,!%3Q^YtSWO,Luna Correia,Luna Correia,+55 (084) 7950-4318,Não-binário,1974-05-17,Rodrigues,RJ,A-,"Doença cardíaca, Câncer","Paracetamol, Metformina",61 4522-3346,UBS Aeroporto de Siqueira
paciente22@email.com,bXY3LbmD_R,Sofia Nascimento,Sofia Nascimento,+55 (081) 5756-1689,Masculino,2002-12-12,Alves do Amparo,PA,A-,Doença cardíaca,"Ibuprofeno, Paracetamol, Omeprazol, Metformina",+55 (071) 6304-7790,UBS Setor de Casa Grande
paciente23@email.com,^RCq8Za5(i,Josué Correia,Natália,+55 (081) 2537 0365,Feminino,1998-04-06,Oliveira,RS,AB-,"DPOC, Diabetes","Ibuprofeno, Omeprazol, Morfina, Paracetamol",+55 84 4078-4846,UBS Fazenda de Moreira
paciente24@email.com,2fd_s!Zg&&,Juliana Guerra,Juliana Guerra,(071) 3636 8766,Masculino,1969-02-03,Martins da Mata,RS,AB+,Câncer,"Omeprazol, Metformina",71 3761-4978,UBS Vereda de Ferreira
paciente25@email.com,(0FA@AfAz&,Ravi da Cunha,Ravi da Cunha,(081) 7934-5607,Feminino,1975-08-19,Martins das Flores,PE,A-,"Alzheimer, Câncer, Doença cardíaca",Morfina,(011) 9493-0338,UBS Avenida Aurora da Mata
paciente26@email.com,f$1yjWmP&9,Mariah Campos,Mariah Campos,31 7521-3889,Não-binário,1999-08-14,Abreu,SC,A+,"DPOC, Alzheimer","Omeprazol, Morfina, Paracetamol",(041) 5176 8418,UBS Pátio de Andrade
paciente27@email.com,G(N6DXp2f!,Dra. Anna Liz da Mata,Dra. Anna Liz da Mata,+55 (011) 8336-4210,Não-binário,1955-09-23,Fernandes,SP,O+,"Câncer, Diabetes","Omeprazol, Losartana",(081) 4726-1010,UBS Chácara Vasconcelos
paciente28@email.com,#L7^Dvb@U),Lara Rezende,Lara Rezende,21 0136 2153,Não-binário,1956-06-13,Gonçalves de Montenegro,SP,B+,"DPOC, Diabetes","Paracetamol, Omeprazol",+55 (011) 5282 8841,UBS Colônia Erick Ferreira
paciente29@email.com,32wO4Wtn_0,João Vitor Aparecida,João Vitor Aparecida,(061) 3539-4865,Não-binário,1993-04-25,Pereira,SP,AB-,"Diabetes, Alzheimer, DPOC",Paracetamol,0900-180-1604,UBS Jardim de Câmara
paciente30@email.com,_pwXTq_0_1,Clara Garcia,Clara Garcia,(021) 9898-4423,Não-binário,1974-08-22,Almeida de Porto,PA,B-,"Hipertensão, Doença cardíaca",Losartana,+55 81 2722 0621,UBS Vereda Dante da Conceição
paciente31@email.com,RQEa#lPa_2,Maria Alice Campos,Maria Alice Campos,+55 (031) 1916-8461,Masculino,1988-04-08,Casa Grande de Moura,PE,A-,"Hipertensão, Alzheimer, DPOC","Paracetamol, Ibuprofeno, Omeprazol, Metformina",11 7155-1020,UBS Aeroporto Rodrigues
paciente32@email.com,eHUS&A#1_3,Emilly Garcia,Emilly Garcia,(051) 5814 1271,Feminino,1971-01-10,Almeida da Mata,MG,O+,DPOC,"Metformina, Ibuprofeno, Morfina",(031) 7118-4121,UBS Parque de Viana
paciente33@email.com,b!3RGx49)1,Dr. Lucas Monteiro,Dr. Lucas Monteiro,51 9010 5575,Masculino,1987-02-20,Marques do Oeste,SP,A+,Diabetes,"Omeprazol, Metformina",+55 (061) 1343-5506,UBS Favela de Garcia
paciente34@email.com,J)2R98Dt)i,Maria Cassiano,Maria Cassiano,51 0126 9174,Não-binário,1997-11-14,Viana,PA,AB+,Câncer,"Omeprazol, Paracetamol, Ibuprofeno, Metformina",(071) 0425-7567,UBS Viaduto Aragão
paciente35@email.com,42ISitXo!m,Isabela Mendonça,Isabela Mendonça,+55 (061) 2726 4078,Masculino,1971-05-14,Alves,PA,B-,"Câncer, Hipertensão","Morfina, Losartana, Ibuprofeno, Paracetamol",51 7544 0707,UBS Esplanada Emanuel da Paz
paciente36@email.com,)@UO1jEl2w,Maitê Leão,Maitê Leão,+55 31 9052-3488,Não-binário,1974-06-21,Nogueira da Prata,MG,O-,"Câncer, Alzheimer","Paracetamol, Morfina, Omeprazol, Ibuprofeno",+55 84 3675-6692,UBS Condomínio de Marques
paciente37@email.com,1_0#aXId1A,Enzo Gabriel Caldeira,Enzo Gabriel Caldeira,(021) 6948 7499,Feminino,1954-05-01,Sales,PR,B-,"Câncer, Alzheimer","Omeprazol, Losartana, Morfina",(041) 7585-7679,UBS Lagoa Siqueira
paciente38@email.com,a(Bq@SNp#6,Antônio Rezende,Antônio Rezende,+55 (031) 5259 7666,Não-binário,2004-08-22,Borges Paulista,MG,B-,"Diabetes, Câncer","Omeprazol, Losartana, Ibuprofeno, Morfina",0900 535 3212,UBS Estação Araújo
paciente39@email.com,0%9Q6q#ffx,Gustavo Henrique da Cruz,Gustavo Henrique da Cruz,(084) 8844-0670,Não-binário,1946-04-01,Abreu de Martins,SC,AB-,"DPOC, Alzheimer, Hipertensão","Losartana, Omeprazol, Metformina",+55 41 3625 0923,UBS Lago Macedo
paciente40@email.com,V(I4CKXy9y,Maria Vitória Fogaça,Maria Vitória Fogaça,(061) 3945 1172,Masculino,2002-01-07,Vieira,PE,A-,Alzheimer,"Morfina, Ibuprofeno, Metformina",(081) 1076-3180,UBS Parque Melissa Lima
paciente41@email.com,W5idStol#K,Sr. José Miguel Vargas,Sr. José Miguel Vargas,11 5087-4147,Masculino,2005-12-17,Costela,SC,AB+,Diabetes,"Morfina, Losartana",(051) 2372 3394,UBS Área Souza
paciente42@email.com,Yb5)yHCjQ*,Dra. Maria Vitória Pimenta,Dra. Maria Vitória Pimenta,+55 (011) 3182 0614,Masculino,1958-08-15,Cavalcanti das Pedras,PE,A-,DPOC,"Paracetamol, Metformina, Ibuprofeno",(051) 9190 5008,UBS Colônia de Araújo
paciente43@email.com,+WXt3CaN(n,Gabriel Silveira,Gabriel Silveira,71 1524 8317,Feminino,1958-03-17,Campos,RJ,O+,"Alzheimer, Hipertensão, Câncer","Omeprazol, Ibuprofeno",0900-526-2871,UBS Rua de Sales
paciente44@email.com,^v23BgyKNR,Carlos Eduardo Silveira,Carlos Eduardo Silveira,(081) 3946 4330,Masculino,1954-03-30,Fernandes,PR,AB-,"Diabetes, Alzheimer, Câncer","Metformina, Losartana, Ibuprofeno",0900-555-5490,UBS Morro de Guerra
paciente45@email.com,4Gv1JLj#@U,Vitor Cavalcante,Eloá,84 4986 4672,Masculino,1978-05-21,Teixeira Grande,RS,A+,Doença cardíaca,Morfina,+55 84 5893 2277,UBS Setor de Montenegro
paciente46@email.com,8K6ubJqa!Z,Noah Campos,Noah Campos,+55 71 0788 0914,Masculino,1940-07-07,da Cunha,SP,O+,"Diabetes, Alzheimer","Paracetamol, Losartana, Morfina, Ibuprofeno",31 8601-3899,UBS Quadra Luísa Gonçalves
paciente47@email.com,*^FZ8oFtm(,João Pedro Peixoto,João Pedro Peixoto,+55 11 8112-6009,Não-binário,1944-09-28,Almeida de Brito,MG,O-,"Câncer, DPOC, Doença cardíaca","Metformina, Ibuprofeno, Morfina",0800-087-3488,UBS Favela Yan Albuquerque
paciente48@email.com,wt&3Q7wAJp,Luana Brito,Luana Brito,+55 84 2741 3218,Feminino,2005-04-03,Azevedo Verde,MG,B+,Diabetes,"Metformina, Losartana",(031) 4497-0522,UBS Loteamento de da Rocha
paciente49@email.com,$@4AqrQP(Z,José Miguel Borges,Yan,+55 (031) 3080 4380,Não-binário,1978-08-24,Aparecida,SP,AB+,"DPOC, Alzheimer",Paracetamol,+55 84 7811 4335,UBS Lagoa Mendonça
paciente50@email.com,#71GdQiO4%,Kaique Aragão,Kaique Aragão,+55 31 0021 2222,Masculino,1972-08-08,Fogaça Alegre,RJ,A+,Hipertensão,"Morfina, Losartana",61 9301 7909,UBS Esplanada Agatha Carvalho
paciente51@email.com,Y5SojMm7%N,Dra. Pietra Campos,Dra. Pietra Campos,61 3426 3354,Feminino,1967-09-15,Casa Grande de Goiás,RJ,A+,"Câncer, Hipertensão","Omeprazol, Metformina, Losartana, Ibuprofeno",31 6344 8688,UBS Estação de Cardoso
paciente52@email.com,8ZPl1OygE_,Amanda Lopes,Amanda Lopes,81 6026-4372,Masculino,1984-07-01,Souza da Serra,SC,AB+,Hipertensão,"Metformina, Ibuprofeno, Morfina",81 2325-2340,UBS Rodovia Garcia
paciente53@email.com,g6&+0+XbfG,André Rocha,André Rocha,0500-236-9225,Masculino,1944-09-02,Souza,PR,A+,Diabetes,Ibuprofeno,51 5568 5470,UBS Praia de Rios
paciente54@email.com,k96DA_ZO$w,Anthony Gabriel Borges,Anthony Gabriel Borges,71 2795-0166,Masculino,1956-04-13,Gonçalves de Sales,PR,AB+,Doença cardíaca,Losartana,(061) 8500-7688,UBS Parque de da Mata
paciente55@email.com,8c@y2IWoI^,Vinicius da Conceição,Vinicius da Conceição,+55 21 0997 2332,Masculino,1976-03-01,Gomes das Flores,PR,O-,"Diabetes, DPOC, Doença cardíaca","Omeprazol, Metformina, Paracetamol, Losartana",(061) 7469 0643,UBS Viaduto Marques
paciente56@email.com,G!2L@fGYKM,Sra. Sofia Gonçalves,Sra. Sofia Gonçalves,71 9779 4115,Não-binário,1953-10-28,Rocha,PR,AB-,"Doença cardíaca, Diabetes",Losartana,51 4586 6833,UBS Chácara Almeida
paciente57@email.com,3^S8Xbo8Ym,Isis da Mota,Eduarda,+55 (011) 8369-5804,Feminino,1952-12-31,Cardoso,PA,O+,"Hipertensão, Alzheimer, DPOC","Losartana, Morfina",0900 201 5311,UBS Parque Camargo
paciente58@email.com,5MLG7Krg$z,Camila das Neves,Camila das Neves,31 6567 0732,Feminino,1984-09-04,Rodrigues,BA,AB+,"DPOC, Câncer, Hipertensão","Morfina, Paracetamol, Omeprazol",(061) 9480 4690,UBS Condomínio da Mata
paciente59@email.com,Q#8sY!XrO$,Sra. Sophie Ramos,Sra. Sophie Ramos,51 1140 3492,Feminino,1977-04-11,Sá,SP,O-,Diabetes,"Losartana, Paracetamol",+55 21 0530-9493,UBS Vale Maria Alice Duarte
paciente60@email.com,v8w1Uzxn!z,Heloísa Rezende,Heloísa Rezende,+55 (021) 8118-7820,Não-binário,1981-07-29,Oliveira Alegre,CE,B+,"DPOC, Doença cardíaca","Paracetamol, Metformina, Ibuprofeno",(071) 0456 3240,UBS Praça de Casa Grande
paciente61@email.com,(1ZUywg#P8,Dr. Vitor Hugo Ferreira,Dr. Vitor Hugo Ferreira,51 8434 3052,Masculino,1979-01-08,Nascimento,SC,B-,"DPOC, Diabetes",Losartana,+55 71 1812 6514,UBS Setor de Costela
paciente62@email.com,P5iMb+*i)A,Maria Helena Montenegro,Maria Helena Montenegro,+55 41 6033 6340,Feminino,1984-08-31,da Paz,SP,A-,Hipertensão,"Metformina, Morfina",+55 51 3505 3574,UBS Vereda Maitê Machado
paciente63@email.com,%Qn0^WoMoh,Juliana Mendonça,Juliana Mendonça,71 3833 6336,Feminino,2004-04-11,Borges,PA,A-,"Hipertensão, Câncer, DPOC",Morfina,61 4001 7054,UBS Vale João Felipe das Neves
paciente64@email.com,!*q8aK3bZc,Ana Julia Lima,Ana Julia Lima,+55 11 1813-7667,Feminino,1954-12-30,Azevedo,MG,A-,"Alzheimer, Hipertensão, DPOC","Paracetamol, Ibuprofeno, Losartana, Metformina",+55 (041) 6700-4310,UBS Feira da Luz
paciente65@email.com,%Og6#T*v9z,Thiago Costela,Thiago Costela,(011) 7375 8100,Feminino,1979-10-22,Porto,SC,A+,"Alzheimer, Doença cardíaca, Hipertensão","Morfina, Metformina, Paracetamol, Ibuprofeno",0300 049 3193,UBS Fazenda Gabriela Pastor
paciente66@email.com,(6FIDW9naK,Matheus Fogaça,Matheus Fogaça,+55 (041) 2833-6084,Feminino,2001-04-19,Viana do Galho,SP,A-,"Doença cardíaca, DPOC, Alzheimer","Morfina, Metformina, Omeprazol",+55 11 9423 6340,UBS Alameda Silva
paciente67@email.com,&&tR%WptH7,Anthony Gomes,Anthony Gomes,(011) 6877-8485,Feminino,1951-05-23,da Paz,RS,AB-,DPOC,"Morfina, Ibuprofeno, Paracetamol",+55 (031) 9483-3421,UBS Setor da Mota
paciente68@email.com,1#KVhbq%_O,Antonella da Mota,Antonella da Mota,0500-713-4340,Feminino,1985-12-14,Lima da Prata,RJ,B+,"Doença cardíaca, Hipertensão, Câncer","Morfina, Losartana",+55 (071) 4744 0849,UBS Estrada de Brito
paciente69@email.com,yr1d2SOoS^,Yan Siqueira,Yan Siqueira,+55 84 7654-4613,Feminino,1963-04-25,Melo,SP,A+,"Alzheimer, Diabetes, Câncer","Losartana, Omeprazol, Paracetamol, Metformina",71 2392 3203,UBS Colônia Caio da Mota
paciente70@email.com,@+KMlq7o(2,Dr. Cauã Pastor,Dr. Cauã Pastor,(021) 5057-1584,Não-binário,1987-02-11,das Neves,BA,AB-,Câncer,Losartana,84 3419-3066,UBS Lago João Vitor Monteiro
paciente71@email.com,k#3n8Bj)h),Catarina Leão,Catarina Leão,+55 (061) 7482-3220,Masculino,1971-06-15,Alves de Santos,BA,O+,"Hipertensão, Alzheimer",Omeprazol,21 6987 5819,UBS Sítio de Oliveira
paciente72@email.com,x0RVEfhT*I,Vinicius Ribeiro,Vinicius Ribeiro,+55 (031) 6398 7966,Masculino,1959-07-06,Albuquerque do Campo,SC,AB+,"Câncer, Doença cardíaca, Alzheimer","Paracetamol, Omeprazol, Metformina, Morfina",(051) 5724 6671,UBS Vereda João Lucas Pereira
paciente73@email.com,uDW0OMlz$_,Benício da Rocha,Benício da Rocha,(084) 9984 5825,Não-binário,1992-03-30,Ribeiro,CE,B+,DPOC,Ibuprofeno,+55 (011) 2842-1050,UBS Jardim Borges
paciente74@email.com,x^9HUPzbR#,Sra. Ana Júlia Aparecida,Sra. Ana Júlia Aparecida,+55 81 2681 9905,Feminino,1969-08-31,Cardoso do Galho,SC,A+,"Câncer, Diabetes","Metformina, Morfina, Losartana",+55 (031) 1373 2663,UBS Viela da Cunha
paciente75@email.com,78cthMbt_f,Juliana Ferreira,Juliana Ferreira,21 2959 9564,Não-binário,1963-02-08,Castro de Freitas,PR,O-,"Hipertensão, Câncer","Omeprazol, Metformina, Paracetamol, Losartana",+55 84 0006 8329,UBS Condomínio de Albuquerque
paciente76@email.com,(J8VoCdQ6L,Lucca Pinto,Lucca Pinto,+55 71 3274 3974,Não-binário,1999-08-14,Moreira,PE,O-,Diabetes,"Paracetamol, Losartana, Ibuprofeno",(081) 9219 8226,UBS Distrito de Pereira
paciente77@email.com,_mn*F1&&N1,Luara Albuquerque,Maria Isis,+55 (011) 8816 1555,Feminino,1940-03-13,Nunes,PA,A+,"Hipertensão, Doença cardíaca",Paracetamol,(011) 0669 3073,UBS Conjunto de Teixeira
paciente78@email.com,8P9B0s#h*9,Maria Isis Aparecida,Maria Isis Aparecida,+55 51 1060 6742,Não-binário,1960-07-08,Sá do Amparo,PE,O-,"Diabetes, Alzheimer, DPOC",Metformina,+55 (031) 0400 9124,UBS Quadra Câmara
paciente79@email.com,i&7Ftxvpok,Davi Miguel Sampaio,Davi Miguel Sampaio,(071) 0497 7244,Feminino,1971-02-10,da Paz de Minas,SP,A+,"Doença cardíaca, Hipertensão","Paracetamol, Losartana, Metformina",+55 (084) 6125 8600,UBS Estação Carvalho
paciente80@email.com,2D9_4Or&*5,Murilo Gonçalves,Isabelly,+55 21 2789 9692,Feminino,1980-03-02,Viana do Sul,SC,B+,"Alzheimer, Câncer","Losartana, Morfina",61 9013-1973,UBS Sítio Ana Clara da Cruz
paciente81@email.com,H&21tFunDv,Murilo Campos,Murilo Campos,(051) 6880-3223,Feminino,1963-11-01,Cassiano da Praia,SC,A+,"Hipertensão, DPOC","Losartana, Ibuprofeno",+55 (021) 3838-3705,UBS Praia de Pacheco
paciente82@email.com,t(h7HpyK$),Lívia Brito,Lívia Brito,61 7516-5503,Masculino,1988-10-16,Farias Verde,CE,AB+,Doença cardíaca,"Metformina, Omeprazol",81 2573 4032,UBS Rua de Sá
paciente83@email.com,&n296OBq0!,Marina da Rosa,Marina da Rosa,(084) 4199 8717,Masculino,1966-04-06,Rezende da Prata,SP,AB+,Câncer,"Morfina, Omeprazol, Paracetamol",+55 (084) 3087 5421,UBS Via Yasmin Fonseca
paciente84@email.com,d9XlFgu(^6,Antony Novais,Antony Novais,21 9372-3013,Feminino,1961-10-31,da Costa,PR,O-,Câncer,"Morfina, Paracetamol, Ibuprofeno, Losartana",31 4607 6958,UBS Estrada de Vieira
paciente85@email.com,+zv0AVB0B5,Dr. Yuri Vargas,Dr. Yuri Vargas,+55 (071) 0012 8378,Feminino,1990-03-29,Barros,CE,A-,"DPOC, Alzheimer, Hipertensão",Morfina,+55 51 2692 3342,UBS Viela Sampaio
paciente86@email.com,E3kbLyqh$!,Lavínia Cavalcanti,Lavínia Cavalcanti,+55 (051) 3735 0485,Feminino,1985-12-09,da Rocha,RJ,O-,"Hipertensão, Câncer, DPOC",Metformina,+55 (041) 5858 0575,UBS Estação de Mendes
paciente87@email.com,$EMHdfn0v3,Dra. Daniela da Rosa,Breno,0800 559 1017,Masculino,1941-08-30,Marques,RS,B+,Alzheimer,"Ibuprofeno, Omeprazol",(031) 6366-4170,UBS Largo de Pereira
paciente88@email.com,2&)(C4OjhF,Ana Vitória Campos,Vitor Hugo,0500-901-2303,Não-binário,1944-02-23,Duarte do Sul,RS,O-,"Diabetes, Doença cardíaca","Omeprazol, Metformina, Paracetamol, Morfina",51 0583 3402,UBS Loteamento de Oliveira
paciente89@email.com,AbBDRfh5@4,Lívia Guerra,Lívia Guerra,11 0887-7518,Não-binário,1997-04-28,Moreira do Sul,RS,A-,"Hipertensão, Doença cardíaca, Diabetes","Ibuprofeno, Omeprazol",0800-525-1052,UBS Viaduto Nunes
paciente90@email.com,EVD)6Yu@iH,Sarah Gonçalves,Sarah Gonçalves,+55 11 4175-7241,Feminino,1953-01-27,Cunha do Campo,SP,A+,"Doença cardíaca, DPOC","Omeprazol, Metformina, Ibuprofeno, Morfina",0900-623-7640,UBS Núcleo Eloah Fogaça
paciente91@email.com,bdEYz9DjD%,Stella Almeida,Stella Almeida,0500-943-7839,Masculino,1986-08-15,Gonçalves,CE,AB+,Diabetes,"Metformina, Omeprazol",(031) 0263-7143,UBS Alameda Larissa Mendonça
paciente92@email.com,J2o627Lu)r,Sr. Juan Peixoto,Sr. Juan Peixoto,41 3409 9642,Masculino,1957-01-24,Costela da Prata,PA,AB-,"DPOC, Diabetes","Losartana, Morfina, Metformina, Ibuprofeno",0800 124 3188,UBS Conjunto José Albuquerque
paciente93@email.com,l!62IfYc4N,Eloá Fonseca,Eloá Fonseca,+55 41 1828-7831,Não-binário,1952-03-22,da Rocha de Goiás,PA,O+,"Doença cardíaca, Alzheimer, Câncer","Metformina, Paracetamol",(051) 7932 6481,UBS Loteamento Melo
paciente94@email.com,yj9KXcZW(P,Carlos Eduardo da Rosa,Carlos Eduardo da Rosa,41 8764-0428,Feminino,1972-05-22,Novaes Verde,PA,B+,"Hipertensão, Diabetes, Doença cardíaca","Losartana, Metformina, Paracetamol, Morfina",+55 41 2070 2533,UBS Núcleo Brayan da Cruz
paciente95@email.com,Sd^2Pat^*n,Laís da Cunha,Laís da Cunha,+55 71 5806-0498,Masculino,1952-04-12,Rodrigues,PR,B-,"Diabetes, Hipertensão, DPOC","Metformina, Losartana, Ibuprofeno, Morfina",+55 41 0183-4957,UBS Núcleo de Costela
paciente96@email.com,4)2KXQpU1*,Pedro Henrique Pastor,Pedro Henrique Pastor,+55 (071) 6414-0292,Feminino,1997-03-01,da Paz,PE,A-,DPOC,"Metformina, Omeprazol",+55 81 0100-9068,UBS Viela da Paz
paciente97@email.com,y9SiXotQ&n,Murilo Rios,Murilo Rios,(081) 7013 2298,Não-binário,1942-09-06,Barbosa,SP,A-,DPOC,Ibuprofeno,(081) 6011 2656,UBS Viaduto de Farias
paciente98@email.com,B9K1q_P@#y,Kaique Oliveira,Kaique Oliveira,+55 21 5308 7621,Masculino,1992-07-28,Jesus,SP,B-,"Doença cardíaca, Diabetes, Alzheimer","Paracetamol, Losartana",+55 41 1225-0114,UBS Vereda Rocha
paciente99@email.com,5YD3zGGk(1,João Gabriel Caldeira,João Gabriel Caldeira,21 4517-4044,Não-binário,1951-10-07,Moreira,SP,AB-,"Diabetes, DPOC, Doença cardíaca","Metformina, Paracetamol, Omeprazol",+55 (071) 8495 6309,UBS Lagoa Marques
paciente100@email.com,%$3ITi!y_q,Marina Campos,Marina Campos,+55 61 3719 4943,Feminino,1949-09-19,Sampaio,RJ,AB-,"Hipertensão, DPOC","Losartana, Metformina, Paracetamol, Morfina",+55 (051) 5342 5274,UBS Ladeira de da Rocha
